site_id,treatment,time,weight_g
ZL_A,ziplock,pre,30
ZL_B,ziplock,pre,30
ZL_C,ziplock,pre,30
CP_A,compostable,pre,30
CP_B,compostable,pre,30
CP_C,compostable,pre,30
BTB_A,trashbag,pre,30
BTB_B,trashbag,pre,30
BTB_C,trashbag,pre,30
SB_A,shoppingbag,pre,30
SB_B,shoppingbag,pre,30
SB_C,shoppingbag,pre,30
MP_A,mixedplastic,pre,30
MP_B,mixedplastic,pre,30
MP_C,mixedplastic,pre,30
ZL_A,ziplock,pst,31.20
ZL_B,ziplock,pst,29.88
ZL_C,ziplock,pst,30.41
CP_A,compostable,pst,26.57
CP_B,compostable,pst,26.96
CP_C,compostable,pst,28.33
BTB_A,trashbag,pst,30.51
BTB_B,trashbag,pst,31.79
BTB_C,trashbag,pst,31.58
SB_A,shoppingbag,pst,49.23
SB_B,shoppingbag,pst,41.53
SB_C,shoppingbag,pst,38.45
MP_A,mixedplastic,pst,29.68
MP_B,mixedplastic,pst,31.58
MP_C,mixedplastic,pst,33.21